Title,Synopsis,Links
Coupez !,"
Le film est présenté hors-compétition au Festival de Cannes 2022 et en fait l'ouverture.Un tournage de film de zombies dans un bâtiment désaffecté. Entre techniciens blasés et acteurs pas vraiment concernés, seul le réalisateur semble investi de l’énergie nécessaire pour donner vie à un énième film d'horreur à petit budget. L’irruption d’authentiques morts-vivants va perturber le tournage…
",http://www.allocine.fr/film/fichefilm_gen_cfilm=291483.html
Les Folies fermières,"
D'après une fabuleuse histoire vraie.David, jeune paysan du Cantal, vient d’avoir une idée : pour sauver son exploitation de la faillite, il va monter un cabaret à la ferme. Le spectacle sera sur scène et dans l’assiette, avec les bons produits du coin. Il en est sûr, ça ne peut que marcher ! Ses proches, sa mère et surtout son grand-père, sont plus sceptiques.
",http://www.allocine.fr/film/fichefilm_gen_cfilm=288925.html
On sourit pour la photo,"
Thierry passe ses journées à classer ses photos de famille, persuadé que le meilleur est derrière lui. Lorsque Claire, sa femme, lui annonce qu’elle le quitte, Thierry, dévasté, lui propose de refaire « Grèce 98 », leurs meilleures vacances en famille. Officiellement, il veut passer une dernière semaine avec leurs enfants avant de leur annoncer la séparation. Officieusement, il espère reconquérir sa femme ! En tentant de raviver la flamme de son couple, Thierry va mettre le feu à sa famille...
",http://www.allocine.fr/film/fichefilm_gen_cfilm=284745.html
The Northman,"
Le jeune prince Amleth vient tout juste de devenir un homme quand son père est brutalement assassiné par son oncle qui s'empare alors de la mère du garçon. Amleth fuit son royaume insulaire en barque, en jurant de se venger. Deux décennies plus tard, Amleth est devenu un berserkr, un guerrier viking capable d'entrer dans une fureur bestiale, qui pille et met à feu, avec ses frères berserkir, des villages slaves jusqu'à ce qu'une devineresse lui rappelle son vœu de venger son père, de secourir sa mère et de tuer son oncle. Il embarque alors sur un bateau pour l'Islande et entre, avec l'aide d'Olga, une jeune Slave prise comme esclave, dans la ferme de son oncle, en se faisant lui aussi passer pour un esclave, avec l'intention d'y perpétrer sa vengeance.
",http://www.allocine.fr/film/fichefilm_gen_cfilm=278182.html
Ima,"
Dadju se rend à Kinshasa, la ville de son enfance, pour donner un concert dans quelques jours. Laetitia, une de ses plus grandes fans, rêve d’y assister mais le concert affiche complet. Elle supplie alors son père de jouer des connexions de son patron Yavan, un puissant et riche homme d’affaires, pour lui trouver des places. Celui-ci convainc Dadju de se produire pour un concert privé dans sa propriété, espérant ainsi séduire la sœur de Laetitia, l’envoûtante Ima. Mais pendant le concert, le coup de foudre est immédiat pour Dadju qui ne quitte plus Ima des yeux…
",http://www.allocine.fr/film/fichefilm_gen_cfilm=301011.html
The Duke,"
En 1961, Kempton Bunton, un chauffeur de taxi sexagénaire, vole à la National Gallery de Londres le portrait du Duc de Wellington peint par Goya. Il envoie alors des notes de rançon, menaçant de ne rendre le tableau qu’à condition que le gouvernement rende l’accès à la télévision gratuit pour les personnes âgées. Cette histoire vraie raconte comment un inoffensif retraité s’est vu recherché par toutes les polices de Grande Bretagne, accomplissant le premier (et unique) vol dans l’histoire du musée.
",http://www.allocine.fr/film/fichefilm_gen_cfilm=278710.html
Cœurs vaillants,"
COEURS VAILLANTS retrace l’odyssée de 6 enfants juifs cachés pendant la guerre, partis trouver refuge là où personne ne pense à aller les chercher... dans le château et le parc du domaine de Chambord, au milieu des œuvres d’art cachées du Louvre. A cœur vaillant rien d’impossible...
",http://www.allocine.fr/film/fichefilm_gen_cfilm=285572.html
Utama : La Terre Oubliée,"
Dans l’immensité des hauts plateaux boliviens, Virginio et Sisa veillent sur leur troupeau de lamas. Jusqu’ici, rien n’a pu les détourner de cette vie âpre, héritée des traditions : ni leur âge avancé, ni le départ des habitants de la région, chassés par la sécheresse. Aussi accueillent-ils avec méfiance la visite de Clever, leur petit-fils de 19 ans, venu les convaincre de s’installer en ville avec le reste de la famille. Réticent à l’idée de quitter sa terre, Virginio se montre inflexible. A tel point que le jour où il tombe gravement malade, il décide de le cacher à Sisa et Clever…
",http://www.allocine.fr/film/fichefilm_gen_cfilm=293005.html
Nitram,"
En Australie dans le milieu des années 90, Nitram vit chez ses parents, où le temps s’écoule entre solitude et frustration. Alors qu'il propose ses services comme jardinier, il rencontre Helen, une héritière marginale qui vit seule avec ses animaux. Ensemble, ils se construisent une vie à part. Quand Helen disparaît tragiquement, la colère et la solitude de Nitram ressurgissent. Commence alors une longue descente qui va le mener au pire.
",http://www.allocine.fr/film/fichefilm_gen_cfilm=288592.html
L'école du bout du monde,"
Un jeune instituteur du Bhoutan est envoyé dans la partie la plus reculée du pays. Loin de la ville, le quotidien est rude, mais la force spirituelle des habitants du village transformera son destin.
",http://www.allocine.fr/film/fichefilm_gen_cfilm=279377.html
